timestamp,tds_v,tempC,ph_v
20,2.04516,16.000,6.04032
21,2.03548,16.000,6.03871
21,2.03710,16.000,6.03387
22,2.03710,16.000,6.03871
22,2.03710,16.000,6.04516
23,2.03065,16.000,6.03710
24,2.05323,16.000,6.03710
24,2.03065,16.000,6.02903
25,2.02742,16.000,6.03548
25,2.03065,16.000,6.04032
26,2.03871,16.000,6.04032
26,2.02903,16.000,6.03548
26,2.03548,16.000,6.04355
27,2.03226,16.000,6.03710
27,2.05484,16.000,6.04194
28,2.03710,16.000,6.03871
29,2.03065,16.000,6.04032
29,2.04194,16.000,6.03548
30,2.03548,16.000,6.04032
30,2.04355,16.000,6.03871
31,2.03387,16.000,6.04032
32,2.03871,16.000,6.03710
32,2.02258,16.000,6.03871
33,2.03548,16.000,6.03710
34,2.02742,16.000,6.04194
34,2.03871,16.000,6.03548
35,2.04355,16.000,6.03548
35,2.04194,16.000,6.03226
36,2.03387,16.000,6.03387
37,2.03226,16.000,6.04194
37,2.05645,16.000,6.04032
38,2.03226,16.000,6.03387
38,2.04032,16.000,6.03548
39,2.03710,16.000,6.02742
40,2.03226,16.000,6.03710
40,2.03065,16.000,6.03065
41,2.03065,16.000,6.03065
41,2.04032,16.000,6.03065
42,2.04839,16.000,6.03548
43,2.04032,16.000,6.03387
43,2.03871,16.000,6.03871
44,2.02903,16.000,6.03065
44,2.02742,16.000,6.03387
45,2.03871,16.000,6.03065
46,2.04194,16.000,6.03387
46,2.03548,16.000,6.03548
47,2.03710,16.000,6.03387
48,2.03226,16.000,6.03387
48,2.01129,16.000,6.03710
49,2.03548,16.000,6.03871
49,2.02742,16.000,6.04032
50,2.03871,16.000,6.03548
51,2.03548,16.000,6.03226
51,2.03548,16.000,6.03065
52,2.03226,16.000,6.04032
52,2.01774,16.000,6.04355
53,2.03710,16.000,6.03387
54,2.03710,16.000,6.03710
54,2.04032,16.000,6.04355
55,2.03710,16.000,6.03871
55,2.01935,16.000,6.04355
56,2.03548,16.000,6.03548
57,2.03387,16.000,6.03710
57,2.04194,16.000,6.03548
58,2.04032,16.000,6.03710
58,2.04194,16.000,6.04032
59,2.04032,16.000,6.03710
59,2.03710,16.000,6.03710
60,2.04032,16.000,6.04032
61,2.03387,16.000,6.03387
61,2.04194,16.000,6.03871
62,2.04355,16.000,6.04355
62,2.03387,16.000,6.04355
63,2.03387,16.000,6.04677